Time,Activities,Duration,Distance,Avg speed,Avg pace,Avg heart rate,Ascent,TSS®,Calories,Est. VO₂max
08/03/21-14/03/21,6,7:04'45 ,"90,93 km","12,8 km/h",04'40 /km,139 bpm,580 m,402 TSS,4 843 kcal,"61,6 "
01/03/21-07/03/21,8,9:18'36 ,"130,0 km","14,0 km/h",04'46 /km,132 bpm,969 m,499 TSS,5 202 kcal,"61,7 "
22/02/21-28/02/21,9,9:33'12 ,"136,6 km","14,3 km/h",04'44 /km,136 bpm,1 252 m,557 TSS,6 400 kcal,"62,1 "
15/02/21-21/02/21,5,5:39'15 ,"75,13 km","13,3 km/h",04'30 /km,139 bpm,125 m,373 TSS,4 104 kcal,"60,9 "
08/02/21-14/02/21,8,7:43'35 ,"94,29 km","12,2 km/h",04'54 /km,-,814 m,709 TSS,7 255 kcal,"58,2 "
01/02/21-07/02/21,9,7:39'14 ,"109,5 km","14,3 km/h",04'40 /km,160 bpm,363 m,669 TSS,6 369 kcal,"58,8 "
25/01/21-31/01/21,8,7:57'40 ,"126,4 km","15,9 km/h",04'38 /km,136 bpm,190 m,333 TSS,5 365 kcal,"60,6 "
18/01/21-24/01/21,8,7:43'40 ,"113,1 km","14,6 km/h",04'46 /km,137 bpm,70 m,0 TSS,6 146 kcal,"62,5 "
11/01/21-17/01/21,7,6:22'04 ,"80,02 km","12,6 km/h",04'46 /km,160 bpm,31 m,0 TSS,6 081 kcal,"56,1 "
04/01/21-10/01/21,9,10:39'34 ,"86,35 km","8,1 km/h",07'24 /km,101 bpm,2 327 m,0 TSS,6 498 kcal,"53,4 "
28/12/20-03/01/21,10,9:17'46 ,"73,55 km","7,9 km/h",07'35 /km,124 bpm,1 196 m,0 TSS,5 746 kcal,"53,3 "
21/12/20-27/12/20,6,5:40'27 ,"39,60 km","7,0 km/h",08'35 /km,98 bpm,987 m,0 TSS,2 748 kcal,"55,4 "
14/12/20-20/12/20,9,11:06'27 ,"77,84 km","7,0 km/h",08'33 /km,125 bpm,2 321 m,0 TSS,5 873 kcal,"55,8 "
07/12/20-13/12/20,0,-,-,-,-,-,-,-,-,-
30/11/20-06/12/20,8,5:30'08 ,"54,60 km","9,9 km/h",06'02 /km,138 bpm,35 m,0 TSS,4 541 kcal,"54,3 "
23/11/20-29/11/20,7,6:18'20 ,"46,66 km","7,4 km/h",08'06 /km,112 bpm,9 m,0 TSS,3 573 kcal,"54,2 "
16/11/20-22/11/20,8,8:53'53 ,"91,63 km","10,3 km/h",05'49 /km,135 bpm,519 m,0 TSS,6 863 kcal,"57,1 "
09/11/20-15/11/20,6,7:48'18 ,"90,81 km","11,6 km/h",05'09 /km,-,1 282 m,0 TSS,7 309 kcal,"56,1 "
02/11/20-08/11/20,7,11:55'58 ,"86,14 km","7,7 km/h",07'46 /km,112 bpm,2 506 m,0 TSS,7 922 kcal,"56,7 "
26/10/20-01/11/20,8,7:46'57 ,"92,03 km","11,8 km/h",05'04 /km,142 bpm,566 m,0 TSS,6 754 kcal,"58,2 "
19/10/20-25/10/20,7,7:41'36 ,"94,50 km","12,3 km/h",04'53 /km,144 bpm,729 m,0 TSS,7 016 kcal,"58,7 "
12/10/20-18/10/20,8,6:51'21 ,"78,16 km","11,4 km/h",05'15 /km,139 bpm,481 m,0 TSS,5 769 kcal,"58,0 "
05/10/20-11/10/20,5,4:32'18 ,"52,11 km","11,5 km/h",05'13 /km,122 bpm,60 m,0 TSS,4 017 kcal,"56,7 "
28/09/20-04/10/20,8,6:09'09 ,"83,70 km","13,6 km/h",04'24 /km,153 bpm,79 m,0 TSS,5 329 kcal,"56,3 "
21/09/20-27/09/20,14,6:28'51 ,"89,24 km","13,8 km/h",04'39 /km,148 bpm,251 m,0 TSS,5 407 kcal,"56,8 "
14/09/20-20/09/20,8,25:27'00 ,"125,1 km","4,9 km/h",12'12 /km,154 bpm,6 141 m,0 TSS,9 164 kcal,"56,4 "
07/09/20-13/09/20,10,29:40'01 ,"210,6 km","7,1 km/h",09'46 /km,117 bpm,7 117 m,368 TSS,13 256 kcal,"57,6 "
31/08/20-06/09/20,4,5:18'18 ,"62,62 km","11,8 km/h",05'04 /km,141 bpm,494 m,0 TSS,3 407 kcal,"56,2 "
24/08/20-30/08/20,7,20:32'32 ,"154,4 km","7,5 km/h",07'59 /km,137 bpm,5 489 m,338 TSS,11 262 kcal,"57,4 "
17/08/20-23/08/20,7,7:05'21 ,"86,51 km","12,2 km/h",04'55 /km,153 bpm,1 198 m,0 TSS,5 394 kcal,"53,8 "
10/08/20-16/08/20,9,8:49'56 ,"133,7 km","15,1 km/h",05'02 /km,139 bpm,1 070 m,0 TSS,5 650 kcal,"56,7 "
03/08/20-09/08/20,5,5:18'20 ,"72,44 km","13,7 km/h",04'23 /km,156 bpm,270 m,0 TSS,4 219 kcal,"55,7 "
27/07/20-02/08/20,9,17:38'55 ,"115,8 km","6,6 km/h",09'08 /km,131 bpm,4 678 m,0 TSS,10 347 kcal,"51,4 "
20/07/20-26/07/20,11,10:01'50 ,"123,8 km","12,3 km/h",04'59 /km,163 bpm,1 153 m,0 TSS,8 829 kcal,"53,7 "
13/07/20-19/07/20,12,10:42'38 ,"164,5 km","15,4 km/h",04'50 /km,154 bpm,628 m,0 TSS,8 633 kcal,"56,5 "
06/07/20-12/07/20,9,8:29'38 ,"118,1 km","13,9 km/h",04'51 /km,145 bpm,727 m,0 TSS,6 138 kcal,"58,4 "
29/06/20-05/07/20,9,9:09'04 ,"139,6 km","15,3 km/h",04'53 /km,134 bpm,592 m,0 TSS,5 198 kcal,"55,3 "
22/06/20-28/06/20,6,9:37'50 ,"99,30 km","10,3 km/h",05'49 /km,151 bpm,2 249 m,0 TSS,7 336 kcal,"49,1 "
15/06/20-21/06/20,8,8:05'07 ,"101,4 km","12,5 km/h",04'47 /km,-,912 m,0 TSS,7 280 kcal,-
08/06/20-14/06/20,8,7:34'18 ,"95,39 km","12,6 km/h",04'45 /km,-,995 m,0 TSS,6 697 kcal,-
01/06/20-07/06/20,8,9:38'24 ,"87,31 km","9,1 km/h",06'37 /km,-,1 988 m,0 TSS,6 533 kcal,-
25/05/20-31/05/20,8,7:58'13 ,"100,3 km","12,6 km/h",04'46 /km,145 bpm,924 m,0 TSS,7 348 kcal,-
18/05/20-24/05/20,8,8:18'08 ,"101,4 km","12,2 km/h",04'54 /km,143 bpm,1 211 m,0 TSS,7 449 kcal,-
11/05/20-17/05/20,9,13:39'55 ,"125,2 km","9,2 km/h",06'33 /km,145 bpm,3 295 m,0 TSS,8 721 kcal,-
04/05/20-10/05/20,7,15:22'01 ,"93,07 km","6,1 km/h",09'54 /km,-,3 080 m,0 TSS,6 909 kcal,-
27/04/20-03/05/20,8,9:19'14 ,"110,5 km","11,9 km/h",05'03 /km,152 bpm,1 401 m,0 TSS,9 120 kcal,-
20/04/20-26/04/20,10,9:08'42 ,"111,0 km","12,1 km/h",04'56 /km,-,1 212 m,0 TSS,8 781 kcal,-
13/04/20-19/04/20,7,8:40'52 ,"103,6 km","11,9 km/h",05'01 /km,-,1 355 m,0 TSS,8 243 kcal,-
06/04/20-12/04/20,8,9:05'11 ,"114,7 km","12,6 km/h",04'45 /km,143 bpm,898 m,0 TSS,7 654 kcal,-
30/03/20-05/04/20,6,7:53'31 ,"98,18 km","12,4 km/h",04'49 /km,-,764 m,0 TSS,7 923 kcal,-
23/03/20-29/03/20,8,8:12'46 ,"100,3 km","12,2 km/h",04'54 /km,137 bpm,935 m,0 TSS,7 536 kcal,-
16/03/20-22/03/20,7,9:07'12 ,"106,5 km","11,7 km/h",05'08 /km,-,1 071 m,0 TSS,8 548 kcal,-
09/03/20-15/03/20,7,10:44'31 ,"128,6 km","12,0 km/h",05'00 /km,-,1 471 m,0 TSS,8 987 kcal,-
02/03/20-08/03/20,7,7:32'31 ,"94,08 km","12,5 km/h",04'48 /km,-,620 m,0 TSS,5 214 kcal,-
24/02/20-01/03/20,5,6:57'31 ,"81,16 km","11,7 km/h",05'08 /km,-,932 m,0 TSS,5 084 kcal,-
17/02/20-23/02/20,8,10:14'17 ,"92,49 km","9,0 km/h",06'38 /km,-,1 361 m,0 TSS,5 028 kcal,-
10/02/20-16/02/20,5,6:43'50 ,"80,63 km","12,0 km/h",05'00 /km,-,1 418 m,0 TSS,5 556 kcal,-
03/02/20-09/02/20,9,7:34'35 ,"92,18 km","12,2 km/h",04'55 /km,-,1 057 m,0 TSS,5 873 kcal,-
27/01/20-02/02/20,8,5:56'29 ,"70,65 km","11,9 km/h",05'02 /km,-,564 m,0 TSS,7 396 kcal,-
20/01/20-26/01/20,6,4:46'14 ,"53,60 km","11,2 km/h",05'20 /km,-,459 m,0 TSS,4 243 kcal,-
13/01/20-19/01/20,3,1:45'48 ,"20,94 km","11,9 km/h",05'03 /km,140 bpm,114 m,0 TSS,1 424 kcal,-
06/01/20-12/01/20,4,2:20'29 ,"25,02 km","10,7 km/h",05'36 /km,-,22 m,0 TSS,1 976 kcal,-
30/12/19-05/01/20,4,8:36'58 ,"39,32 km","4,6 km/h",13'08 /km,-,2 006 m,0 TSS,1 391 kcal,-
23/12/19-29/12/19,8,6:44'25 ,"104,1 km","15,4 km/h",04'47 /km,-,131 m,0 TSS,5 802 kcal,-
16/12/19-22/12/19,6,6:26'40 ,"91,80 km","14,2 km/h",04'48 /km,144 bpm,899 m,0 TSS,5 652 kcal,-
09/12/19-15/12/19,6,5:59'11 ,"76,64 km","12,8 km/h",04'41 /km,-,633 m,0 TSS,6 018 kcal,-
02/12/19-08/12/19,6,5:11'19 ,"65,18 km","12,6 km/h",04'46 /km,-,192 m,0 TSS,5 136 kcal,-
25/11/19-01/12/19,8,5:05'33 ,"64,59 km","12,7 km/h",04'43 /km,-,188 m,0 TSS,5 319 kcal,-
18/11/19-24/11/19,5,5:00'41 ,"61,41 km","12,3 km/h",04'53 /km,132 bpm,553 m,0 TSS,4 596 kcal,-
11/11/19-17/11/19,6,4:19'21 ,"46,22 km","12,1 km/h",04'57 /km,140 bpm,476 m,0 TSS,4 021 kcal,-
04/11/19-10/11/19,2,1:55'50 ,"40,15 km","20,8 km/h",05'40 /km,131 bpm,0 m,0 TSS,1 204 kcal,-
28/10/19-03/11/19,2,9:28'48 ,"32,49 km","3,4 km/h",17'30 /km,-,1 504 m,0 TSS,2 569 kcal,-
21/10/19-27/10/19,4,12:17'15 ,"101,0 km","8,2 km/h",07'18 /km,-,2 408 m,0 TSS,7 823 kcal,-
14/10/19-20/10/19,5,5:51'57 ,"69,39 km","11,8 km/h",05'04 /km,-,884 m,0 TSS,5 484 kcal,-
07/10/19-13/10/19,4,3:20'47 ,"45,21 km","13,5 km/h",05'13 /km,156 bpm,542 m,0 TSS,2 686 kcal,-
30/09/19-06/10/19,3,4:09'35 ,"58,73 km","14,1 km/h",04'15 /km,-,114 m,0 TSS,4 559 kcal,-
23/09/19-29/09/19,8,8:30'52 ,"64,69 km","7,6 km/h",07'53 /km,-,1 286 m,0 TSS,4 882 kcal,-
16/09/19-22/09/19,0,-,-,-,-,-,-,-,-,-
09/09/19-15/09/19,3,12:58'04 ,"121,9 km","9,4 km/h",06'22 /km,-,3 749 m,0 TSS,9 377 kcal,-
02/09/19-08/09/19,3,3:31'37 ,"42,78 km","12,1 km/h",04'56 /km,-,530 m,0 TSS,3 440 kcal,-
26/08/19-01/09/19,7,13:38'18 ,"91,77 km","6,7 km/h",08'54 /km,-,4 070 m,0 TSS,7 482 kcal,-
19/08/19-25/08/19,9,9:54'01 ,"137,9 km","13,9 km/h",05'30 /km,-,1 399 m,0 TSS,7 126 kcal,-
12/08/19-18/08/19,6,4:47'09 ,"56,10 km","11,7 km/h",05'07 /km,-,660 m,0 TSS,4 492 kcal,-
05/08/19-11/08/19,2,3:48'16 ,"52,64 km","13,8 km/h",04'20 /km,-,243 m,0 TSS,4 132 kcal,-
29/07/19-04/08/19,6,3:15'55 ,"40,81 km","12,5 km/h",04'48 /km,-,99 m,0 TSS,3 246 kcal,-
22/07/19-28/07/19,3,20:53'28 ,"132,8 km","6,4 km/h",09'26 /km,-,6 051 m,0 TSS,9 681 kcal,-
15/07/19-21/07/19,6,7:09'53 ,"79,74 km","11,1 km/h",05'23 /km,-,1 808 m,0 TSS,6 350 kcal,-
08/07/19-14/07/19,5,6:30'13 ,"71,06 km","10,9 km/h",05'29 /km,-,1 359 m,0 TSS,5 603 kcal,-
01/07/19-07/07/19,4,3:42'15 ,"45,07 km","12,2 km/h",04'55 /km,-,197 m,0 TSS,3 582 kcal,-
24/06/19-30/06/19,3,9:02'19 ,"65,72 km","7,3 km/h",08'15 /km,-,3 658 m,0 TSS,5 005 kcal,-
17/06/19-23/06/19,6,6:29'30 ,"76,58 km","11,8 km/h",05'05 /km,-,1 441 m,0 TSS,6 012 kcal,-
10/06/19-16/06/19,2,2:25'05 ,"24,54 km","10,1 km/h",05'54 /km,-,159 m,0 TSS,1 929 kcal,-
03/06/19-09/06/19,6,19:10'25 ,"172,4 km","9,0 km/h",06'40 /km,-,4 785 m,0 TSS,12 947 kcal,-
27/05/19-02/06/19,5,7:09'03 ,"81,09 km","11,3 km/h",05'17 /km,-,1 346 m,0 TSS,6 271 kcal,-
20/05/19-26/05/19,7,14:02'33 ,"163,7 km","11,7 km/h",05'38 /km,-,3 212 m,0 TSS,11 128 kcal,-
13/05/19-19/05/19,7,12:29'27 ,"146,6 km","11,7 km/h",05'42 /km,-,3 520 m,0 TSS,9 422 kcal,-
06/05/19-12/05/19,8,8:55'09 ,"105,3 km","11,8 km/h",05'04 /km,-,1 035 m,0 TSS,8 201 kcal,-
29/04/19-05/05/19,7,11:19'18 ,"95,67 km","8,5 km/h",07'06 /km,-,2 631 m,0 TSS,7 276 kcal,-
22/04/19-28/04/19,8,5:27'08 ,"65,85 km","12,1 km/h",04'58 /km,-,696 m,0 TSS,5 560 kcal,-
15/04/19-21/04/19,5,12:28'22 ,"58,58 km","4,7 km/h",12'46 /km,-,1 954 m,0 TSS,3 759 kcal,-
08/04/19-14/04/19,6,14:00'08 ,"143,2 km","10,2 km/h",05'52 /km,-,3 632 m,0 TSS,10 809 kcal,-
01/04/19-07/04/19,9,6:01'48 ,"75,37 km","12,5 km/h",04'48 /km,-,637 m,0 TSS,5 968 kcal,-
25/03/19-31/03/19,6,10:48'27 ,"126,0 km","11,7 km/h",05'08 /km,-,2 604 m,0 TSS,10 020 kcal,-
18/03/19-24/03/19,8,9:14'18 ,"110,5 km","12,0 km/h",05'00 /km,-,2 133 m,0 TSS,8 676 kcal,-
11/03/19-17/03/19,8,9:26'13 ,"114,3 km","12,1 km/h",04'57 /km,143 bpm,1 953 m,0 TSS,7 483 kcal,-
04/03/19-10/03/19,6,11:20'02 ,"134,1 km","11,8 km/h",05'38 /km,140 bpm,1 738 m,0 TSS,5 640 kcal,-
25/02/19-03/03/19,8,11:37'18 ,"119,6 km","10,3 km/h",05'49 /km,143 bpm,2 213 m,0 TSS,6 309 kcal,-
18/02/19-24/02/19,6,5:24'37 ,"64,88 km","12,0 km/h",05'00 /km,156 bpm,176 m,0 TSS,4 535 kcal,-
11/02/19-17/02/19,4,5:52'23 ,"64,16 km","10,9 km/h",05'29 /km,146 bpm,1 165 m,0 TSS,4 012 kcal,-
04/02/19-10/02/19,8,11:36'28 ,"109,3 km","9,4 km/h",06'22 /km,147 bpm,1 542 m,0 TSS,4 174 kcal,-
28/01/19-03/02/19,6,6:34'08 ,"82,06 km","12,5 km/h",04'48 /km,141 bpm,359 m,0 TSS,4 240 kcal,-
21/01/19-27/01/19,8,7:50'30 ,"98,07 km","12,5 km/h",04'47 /km,141 bpm,101 m,0 TSS,5 436 kcal,-
14/01/19-20/01/19,10,8:38'20 ,"103,0 km","11,9 km/h",05'01 /km,146 bpm,752 m,0 TSS,5 860 kcal,-
07/01/19-13/01/19,7,7:43'04 ,"74,04 km","9,6 km/h",06'15 /km,147 bpm,922 m,0 TSS,3 903 kcal,-
31/12/18-06/01/19,7,9:26'29 ,"94,18 km","10,0 km/h",06'00 /km,143 bpm,1 622 m,0 TSS,5 931 kcal,-
24/12/18-30/12/18,6,10:04'40 ,"74,42 km","7,4 km/h",08'07 /km,138 bpm,2 589 m,0 TSS,7 250 kcal,-
17/12/18-23/12/18,6,5:14'33 ,"64,34 km","12,3 km/h",04'53 /km,149 bpm,86 m,0 TSS,4 102 kcal,-
10/12/18-16/12/18,7,4:23'27 ,"54,03 km","12,3 km/h",04'52 /km,154 bpm,138 m,0 TSS,3 613 kcal,-
03/12/18-09/12/18,7,6:13'22 ,"76,51 km","12,3 km/h",04'52 /km,150 bpm,166 m,0 TSS,4 534 kcal,-
26/11/18-02/12/18,5,4:29'35 ,"50,14 km","11,2 km/h",05'22 /km,137 bpm,18 m,0 TSS,2 824 kcal,-
19/11/18-25/11/18,0,-,-,-,-,-,-,-,-,-
12/11/18-18/11/18,4,4:28'08 ,"49,28 km","11,0 km/h",05'26 /km,138 bpm,434 m,0 TSS,3 234 kcal,-
05/11/18-11/11/18,2,49'37.1 ,"1,00 km",-,24'57 /km,-,-,0 TSS,359 kcal,-
29/10/18-04/11/18,4,16:53'03 ,"65,62 km","3,9 km/h",15'26 /km,-,3 904 m,0 TSS,4 161 kcal,-
22/10/18-28/10/18,4,9:49'21 ,"97,59 km","9,9 km/h",06'02 /km,-,2 410 m,0 TSS,7 522 kcal,-
15/10/18-21/10/18,5,5:13'48 ,"58,30 km","11,1 km/h",05'22 /km,131 bpm,1 208 m,0 TSS,5 421 kcal,-
08/10/18-14/10/18,4,3:58'17 ,"41,73 km","10,5 km/h",05'42 /km,-,1 429 m,0 TSS,3 465 kcal,-
01/10/18-07/10/18,3,4:58'32 ,"69,31 km","13,9 km/h",04'18 /km,-,404 m,0 TSS,5 398 kcal,-
24/09/18-30/09/18,6,8:20'20 ,"59,83 km","7,2 km/h",08'21 /km,140 bpm,1 846 m,0 TSS,4 036 kcal,-
17/09/18-23/09/18,6,5:11'11 ,"62,20 km","12,0 km/h",05'00 /km,-,977 m,0 TSS,4 890 kcal,-
10/09/18-16/09/18,6,10:32'31 ,"55,88 km","5,3 km/h",11'19 /km,-,3 175 m,0 TSS,6 146 kcal,-
03/09/18-09/09/18,0,-,-,-,-,-,-,-,-,-
27/08/18-02/09/18,3,30:49'55 ,"189,8 km","6,2 km/h",09'44 /km,138 bpm,9 955 m,0 TSS,13 315 kcal,-
20/08/18-26/08/18,4,4:48'02 ,"54,76 km","11,4 km/h",05'15 /km,-,1 395 m,0 TSS,4 497 kcal,-
13/08/18-19/08/18,6,8:24'33 ,"94,12 km","11,2 km/h",05'21 /km,-,2 787 m,0 TSS,7 405 kcal,-
06/08/18-12/08/18,10,12:21'28 ,"130,1 km","10,5 km/h",05'42 /km,124 bpm,5 302 m,0 TSS,10 105 kcal,-
30/07/18-05/08/18,11,9:57'02 ,"116,7 km","11,7 km/h",05'06 /km,150 bpm,3 561 m,0 TSS,8 960 kcal,-
23/07/18-29/07/18,6,4:52'41 ,"55,72 km","11,4 km/h",05'15 /km,146 bpm,2 283 m,0 TSS,3 919 kcal,-
16/07/18-22/07/18,9,8:25'00 ,"94,56 km","11,2 km/h",05'20 /km,136 bpm,2 362 m,0 TSS,6 461 kcal,-
09/07/18-15/07/18,6,10:02'05 ,"83,91 km","8,4 km/h",07'10 /km,141 bpm,3 878 m,0 TSS,6 214 kcal,-
02/07/18-08/07/18,6,11:29'58 ,"81,47 km","7,1 km/h",08'28 /km,147 bpm,7 212 m,0 TSS,5 957 kcal,-
25/06/18-01/07/18,2,1:45'20 ,"19,01 km","10,8 km/h",05'32 /km,126 bpm,583 m,0 TSS,1 290 kcal,-
18/06/18-24/06/18,3,19:35'12 ,"145,0 km","7,4 km/h",08'06 /km,142 bpm,5 890 m,0 TSS,10 062 kcal,-
11/06/18-17/06/18,10,6:33'28 ,"74,98 km","11,4 km/h",05'14 /km,145 bpm,2 986 m,0 TSS,4 888 kcal,-
04/06/18-10/06/18,8,10:21'21 ,"111,2 km","10,7 km/h",05'35 /km,140 bpm,3 653 m,0 TSS,6 949 kcal,-
28/05/18-03/06/18,5,7:10'39 ,"51,97 km","7,2 km/h",08'17 /km,137 bpm,4 327 m,0 TSS,2 905 kcal,-
21/05/18-27/05/18,5,6:06'10 ,"70,85 km","11,6 km/h",05'10 /km,150 bpm,2 644 m,0 TSS,4 811 kcal,-
14/05/18-20/05/18,3,7:02'50 ,"70,54 km","10,0 km/h",05'59 /km,154 bpm,2 999 m,0 TSS,5 035 kcal,-
07/05/18-13/05/18,7,9:36'52 ,"103,3 km","10,7 km/h",05'34 /km,141 bpm,3 319 m,0 TSS,6 506 kcal,-
30/04/18-06/05/18,9,10:47'15 ,"88,45 km","8,2 km/h",07'19 /km,146 bpm,5 641 m,0 TSS,5 696 kcal,-
23/04/18-29/04/18,9,10:44'13 ,"101,1 km","9,4 km/h",06'22 /km,137 bpm,5 343 m,0 TSS,7 133 kcal,-
16/04/18-22/04/18,3,5:21'51 ,"71,12 km","13,3 km/h",04'31 /km,156 bpm,1 305 m,0 TSS,4 189 kcal,-
09/04/18-15/04/18,3,2:33'38 ,"31,77 km","12,4 km/h",04'50 /km,139 bpm,583 m,0 TSS,1 723 kcal,-
02/04/18-08/04/18,7,7:18'48 ,"88,91 km","12,2 km/h",04'56 /km,142 bpm,2 615 m,0 TSS,5 585 kcal,-
26/03/18-01/04/18,7,6:47'06 ,"62,01 km","9,1 km/h",06'33 /km,135 bpm,1 313 m,0 TSS,3 479 kcal,-
19/03/18-25/03/18,3,1:58'28 ,"29,97 km","15,2 km/h",03'57 /km,137 bpm,0 m,0 TSS,1 345 kcal,-
12/03/18-18/03/18,8,7:01'13 ,"86,41 km","12,3 km/h",04'52 /km,141 bpm,1 864 m,0 TSS,5 208 kcal,-
05/03/18-11/03/18,6,6:06'41 ,"74,81 km","12,2 km/h",04'54 /km,137 bpm,1 190 m,0 TSS,3 305 kcal,-
26/02/18-04/03/18,4,8:01'47 ,"31,52 km","3,9 km/h",15'17 /km,99 bpm,2 557 m,0 TSS,2 836 kcal,-
19/02/18-25/02/18,5,24:28'01 ,"159,7 km","6,5 km/h",09'11 /km,134 bpm,5 707 m,0 TSS,11 452 kcal,-
12/02/18-18/02/18,5,4:06'52 ,"52,57 km","12,8 km/h",04'41 /km,137 bpm,484 m,0 TSS,2 697 kcal,-
05/02/18-11/02/18,7,8:48'12 ,"100,3 km","11,4 km/h",05'15 /km,139 bpm,2 259 m,0 TSS,5 630 kcal,-
29/01/18-04/02/18,2,1:48'09 ,"21,14 km","11,7 km/h",05'06 /km,141 bpm,1 417 m,0 TSS,1 233 kcal,-
